,track_id,album_id,track_name,track_number,track_duration(s),album_name,album_release_year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,explicit,popularity,logLiveness
0,1SWWn0eLHHRoZbx0aBDdVg,0S5nxDIEprOH23QeDoMeFK,Fantastic Voyage - 2017 Remaster,1,175.1,Lodger ,1979,0.382,0.494,9.0,-9.429,0.051,0.768,0.0,0.135,0.724,206.357,False,41.0,-2.0024805005437076
1,3NXI2XNb5hQ7uOWMZ1Sxfm,0S5nxDIEprOH23QeDoMeFK,African Night Flight - 2017 Remaster,2,177.0,Lodger ,1979,0.544,0.709,2.0,-10.642,0.137,0.564,0.000264,0.441,0.544,159.715,False,34.0,-0.818710403535291
2,0IPI7yil60RAOUhlid7GmN,0S5nxDIEprOH23QeDoMeFK,Move On - 2017 Remaster,3,200.0,Lodger ,1979,0.445,0.593,8.0,-10.376,0.0576,0.476,0.000271,0.381,0.437,150.481,False,34.0,-0.9649559038554361
3,7GUqTaobt7S0eQp6QXE4dE,0S5nxDIEprOH23QeDoMeFK,Yassassin - Turkish For: Long Live; 2017 Remaster,4,253.1,Lodger ,1979,0.523,0.495,9.0,-9.499,0.0438,0.171,2.76e-06,0.382,0.746,171.429,False,35.0,-0.9623346703755619
4,6Y9i9fI9HrYXMyJAHANLTm,0S5nxDIEprOH23QeDoMeFK,Red Sails - 2017 Remaster,5,225.4,Lodger ,1979,0.453,0.836,9.0,-9.395,0.0569,0.0139,0.0415,0.153,0.587,144.079,False,33.0,-1.8773173575897015
5,1g7NUaFstaB84jLTmOwIor,0S5nxDIEprOH23QeDoMeFK,D.J. - 2017 Remaster,6,241.4,Lodger ,1979,0.641,0.819,7.0,-7.949,0.0596,0.147,0.00033,0.286,0.875,112.333,False,40.0,-1.2517634681622845
6,7q8iLIcpUdW2anOuWo4htn,0S5nxDIEprOH23QeDoMeFK,Look Back in Anger - 2017 Remaster,7,188.2,Lodger ,1979,0.393,0.837,9.0,-8.814,0.055,5.14e-05,0.0261,0.22,0.513,128.816,False,38.0,-1.5141277326297755
7,5NXCDF2wyPv06X54abGTcp,0S5nxDIEprOH23QeDoMeFK,Boys Keep Swinging - 2017 Remaster,8,198.5,Lodger ,1979,0.475,0.69,9.0,-7.693,0.0394,0.395,0.179,0.0841,0.908,122.628,False,45.0,-2.475748712003235
8,6C0RX9gjYclSIQ35CuRzJz,0S5nxDIEprOH23QeDoMeFK,Repetition - 2017 Remaster,9,180.1,Lodger ,1979,0.735,0.716,3.0,-11.404,0.0411,0.572,0.715,0.115,0.961,128.471,False,31.0,-2.162823150618887
9,3xfvgzz6erOPTFGZFrr45F,0S5nxDIEprOH23QeDoMeFK,Red Money - 2017 Remaster,10,259.4,Lodger ,1979,0.54,0.656,7.0,-8.393,0.0401,0.00927,0.0475,0.192,0.498,107.565,False,31.0,-1.6502599069543555
10,56von762XlyEtT3qQhm47H,4I5zzKYd2SKDgZ9DRf5LVk,Beauty and the Beast - 2017 Remaster,1,216.6,"""Heroes"" ",1977,0.551,0.907,4.0,-6.75,0.0617,0.00203,0.101,0.0358,0.752,124.401,False,45.0,-3.3298073855754824
11,1HLbeCJcoW6Bo9xNgWXlSO,4I5zzKYd2SKDgZ9DRf5LVk,Joe the Lion - 2017 Remaster,2,188.1,"""Heroes"" ",1977,0.492,0.945,3.0,-4.968,0.126,0.0233,0.182,0.133,0.66,121.606,False,41.0,-2.017406150760383
12,7Jh1bpe76CNTCgdgAdBw4Z,4I5zzKYd2SKDgZ9DRf5LVk,Heroes - 2017 Remaster,3,371.4,"""Heroes"" ",1977,0.49,0.758,7.0,-6.491,0.0297,0.000671,0.484,0.092,0.435,112.114,False,80.0,-2.385966701933097
13,3O85NMbjKkbcCi44UAwOx4,4I5zzKYd2SKDgZ9DRf5LVk,Sons of the Silent Age - 2017 Remaster,4,200.3,"""Heroes"" ",1977,0.39,0.647,10.0,-6.504,0.0327,0.0945,0.00114,0.0947,0.158,111.215,False,42.0,-2.3570412787901045
14,5p3dakY9xb0ArzIHUBshm6,4I5zzKYd2SKDgZ9DRf5LVk,Blackout - 2017 Remaster,5,229.9,"""Heroes"" ",1977,0.533,0.911,7.0,-5.748,0.0996,0.00353,0.00315,0.0828,0.782,121.911,False,41.0,-2.491327217590923
15,6PRZIYPOPMt5y8wGofp44d,4I5zzKYd2SKDgZ9DRf5LVk,V-2 Schneider - 2017 Remaster,6,191.4,"""Heroes"" ",1977,0.453,0.825,0.0,-7.134,0.0465,0.00577,0.961,0.389,0.214,123.181,False,41.0,-0.9441759353636907
16,1d89lSLqTpMMpcKBWzVWcm,4I5zzKYd2SKDgZ9DRf5LVk,Sense of Doubt - 2017 Remaster,7,239.6,"""Heroes"" ",1977,0.17,0.315,5.0,-19.137,0.0483,0.579,0.932,0.144,0.0365,129.451,False,38.0,-1.9379419794061366
17,2hBsekQsE7bxL4lNGpG1tL,4I5zzKYd2SKDgZ9DRf5LVk,Moss Garden - 2017 Remaster,8,305.9,"""Heroes"" ",1977,0.291,0.195,1.0,-18.133,0.0321,0.386,0.89,0.158,0.183,82.904,False,40.0,-1.8451602459551701
